"URI","Label","Context_Subject","Context_Object","ContextWeight"
"http://dbpedia.org/ontology/author","author","http://dbpedia.org/ontology/Book","http://dbpedia.org/ontology/Writer",17981
"http://dbpedia.org/ontology/locatedInArea","located in area","http://dbpedia.org/ontology/Mountain","http://dbpedia.org/ontology/Country",17934
"http://dbpedia.org/ontology/computingPlatform","computing platform","http://dbpedia.org/ontology/VideoGame","http://dbpedia.org/ontology/Software",17917
"http://dbpedia.org/property/branch","branch","http://dbpedia.org/ontology/MilitaryPerson","http://dbpedia.org/ontology/MilitaryUnit",17753
"http://dbpedia.org/ontology/debutTeam","debut team","http://dbpedia.org/ontology/BaseballPlayer","http://dbpedia.org/ontology/BaseballTeam",17704
"http://dbpedia.org/ontology/predecessor","predecessor","http://dbpedia.org/ontology/Tenure","http://dbpedia.org/ontology/OfficeHolder",17702
"http://dbpedia.org/ontology/developer","developer","http://dbpedia.org/ontology/VideoGame","http://dbpedia.org/ontology/Company",17374
"http://dbpedia.org/property/formerTeams","former teams","http://dbpedia.org/ontology/IceHockeyPlayer","http://dbpedia.org/ontology/HockeyTeam",17122
"http://dbpedia.org/property/prevTitle","prev title","http://dbpedia.org/ontology/Single","http://dbpedia.org/ontology/Song",17077
"http://dbpedia.org/property/column","column","http://dbpedia.org/ontology/Cricketer","http://dbpedia.org/ontology/PersonFunction",17017
"http://dbpedia.org/ontology/artist","performer","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/MusicalArtist",16840
"http://dbpedia.org/ontology/formerBandMember","former band member","http://dbpedia.org/ontology/Band","http://dbpedia.org/ontology/MusicalArtist",16735
"http://dbpedia.org/ontology/party","party","http://dbpedia.org/ontology/OfficeHolder","http://dbpedia.org/ontology/PoliticalParty",16515
"http://dbpedia.org/ontology/formerTeam","former team","http://dbpedia.org/ontology/AmericanFootballPlayer","http://dbpedia.org/ontology/AmericanFootballTeam",16403
"http://dbpedia.org/property/primeminister","primeminister","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/OfficeHolder",16376
"http://dbpedia.org/ontology/writer","writer","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/MusicalArtist",16297
"http://dbpedia.org/ontology/country","country","http://dbpedia.org/ontology/Village","http://dbpedia.org/ontology/Country",16241
"http://dbpedia.org/property/primeminister","primeminister","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/Politician",16075
"http://dbpedia.org/property/prevTitle","prev title","http://dbpedia.org/ontology/Single","http://dbpedia.org/ontology/Single",15947
"http://dbpedia.org/ontology/highschool","highschool","http://dbpedia.org/ontology/AmericanFootballPlayer","http://dbpedia.org/ontology/School",15921
"http://dbpedia.org/ontology/leaderFunction","leaderFunction","http://dbpedia.org/ontology/Organisation","http://dbpedia.org/ontology/PersonFunction",15749
"http://dbpedia.org/ontology/constituencyDistrict","constituency district","http://dbpedia.org/ontology/Tenure","http://dbpedia.org/ontology/AdministrativeRegion",15509
"http://dbpedia.org/property/team","Team","http://dbpedia.org/ontology/SoccerClubSeason","http://dbpedia.org/ontology/SoccerClub",15462
"http://dbpedia.org/property/afterElection","after election","http://dbpedia.org/ontology/Election","http://dbpedia.org/ontology/Politician",15361
"http://dbpedia.org/ontology/parent","parent","http://dbpedia.org/ontology/Royalty","http://dbpedia.org/ontology/Royalty",15307
"http://dbpedia.org/property/beforeElection","before election","http://dbpedia.org/ontology/Election","http://dbpedia.org/ontology/Politician",15260
"http://dbpedia.org/property/nextTitle","next title","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/Single",15259
"http://dbpedia.org/property/almaMater","alma mater","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/University",15151
"http://dbpedia.org/property/nextTitle","next title","http://dbpedia.org/ontology/Single","http://dbpedia.org/ontology/Song",15096
"http://dbpedia.org/ontology/publisher","publisher","http://dbpedia.org/ontology/VideoGame","http://dbpedia.org/ontology/Company",15070
"http://dbpedia.org/ontology/league","league","http://dbpedia.org/ontology/SoccerClub","http://dbpedia.org/ontology/SoccerLeague",15057
"http://dbpedia.org/ontology/locatedInArea","located in area","http://dbpedia.org/ontology/Mountain","http://dbpedia.org/ontology/AdministrativeRegion",15038
"http://dbpedia.org/ontology/championInDoubleMale","champion in double male","http://dbpedia.org/ontology/TennisTournament","http://dbpedia.org/ontology/TennisPlayer",14942
"http://dbpedia.org/ontology/academicDiscipline","academic discipline","http://dbpedia.org/ontology/Scientist","http://dbpedia.org/ontology/PersonFunction",14834
"http://dbpedia.org/property/platforms","platforms","http://dbpedia.org/ontology/VideoGame","http://dbpedia.org/ontology/Software",14687
